--------------------------------------------------
Data   Type:		0
Resp.  Stat:		0
Sequence No:		1
Packet Data:
large.txt

CRC result: 9c80, 9c80

CRC result: 5389, 5389

CRC result: 6f6f, 6f6f

CRC result: 3f9f, 3f9f

CRC result: 5282, 5282

CRC result: dbfb, dbfb

CRC result: 854a, 854a

CRC result: e8e1, e8e1

CRC result: be2f, be2f

CRC result: 7991, 7991

CRC result: 5126, 5126

CRC result: 901e, 901e

CRC result: 6d71, 6d71

CRC result: a13c, a13c

CRC result: 643b, 643b

CRC result: 8bb2, 8bb2

CRC result: 3981, 3981

CRC result: e909, e909

CRC result: e96c, e96c

CRC result: 73c6, 73c6

CRC result: 6f83, 6f83

CRC result: 23b9, 23b9

CRC result: 82ed, 82ed

CRC result: fcd6, fcd6

CRC result: 995c, 995c

CRC result: df06, df06

CRC result: 4535, 4535

CRC result: 37ec, 37ec

CRC result: 5a6d, 5a6d

CRC result: 41e1, 41e1

CRC result: 77a0, 77a0

CRC result: b086, b086

CRC result: 5c73, 5c73

CRC result: 8382, 8382

CRC result: 8b8, 8b8

CRC result: 6821, 6821

CRC result: a7b3, a7b3

CRC result: 2bb5, 2bb5

CRC result: eb4f, eb4f

CRC result: 9519, 9519

CRC result: 40f4, 40f4

CRC result: 2b05, 2b05

CRC result: 5700, 5700

CRC result: d3ec, d3ec

CRC result: ee3, ee3

CRC result: e1a, e1a

CRC result: d315, d315

CRC result: b124, b124

CRC result: 912d, 912d

CRC result: 1d58, 1d58

CRC result: f9b1, f9b1

CRC result: 30eb, 30eb

CRC result: c56a, c56a

CRC result: 54b7, 54b7

CRC result: 47e5, 47e5

CRC result: 3cde, 3cde

CRC result: ef36, ef36

CRC result: 9984, 9984

CRC result: ce6c, ce6c

CRC result: 177d, 177d

CRC result: 7e2, 7e2

CRC result: 94f9, 94f9

CRC result: a7e2, a7e2

CRC result: d562, d562

CRC result: b36b, b36b

CRC result: e06d, e06d

CRC result: 448e, 448e

CRC result: d524, d524

CRC result: 5505, 5505

CRC result: 1c35, 1c35

CRC result: 7e4e, 7e4e

CRC result: 6144, 6144

CRC result: aa1f, aa1f

CRC result: d9e4, d9e4

CRC result: 53f2, 53f2

CRC result: 754b, 754b

CRC result: 66b2, 66b2

CRC result: 2e36, 2e36

CRC result: 8c00, 8c00

CRC result: 5de, 5de

CRC result: 9a4a, 9a4a

CRC result: 1216, 1216

CRC result: 77ee, 77ee

